I

740 Version - made by https://simbad.u-strasbg.fr/simbad/sim-fid from Hipparcos data, for J2025 epoch, 2025 equinox, V-band brightness, all stars down to mag 6.5

 9.0473  -66.496  3.99 alf Vol
 2.3135   33.962  4.00 gam Tri
 4.7792   -3.211  4.00 mu. Eri
14.7254  -37.899  4.00 b Cen
16.0394   58.499  4.00 tet Dra
16.2242  -19.524  4.00 Jabbah 
18.7657  -71.402  4.00 zet Pav
18.9349   43.980  4.00 13 Lyr
 1.1572  -55.113  4.01 Wurren 
 8.8599  -27.804  4.01 gam Pyx
10.4148  -74.159  4.01 I Car
12.1618  -24.868  4.01 Alchiba 
13.4371   54.858  4.01 Alcor 
19.4072  -44.409  4.01 Arkab Prior
20.5070   30.453  4.01 41 Cyg
 2.0197  -20.958  4.02 ups Cet
 5.0942   60.475  4.02 bet Cam
 8.8034   28.667  4.02 iot Cnc
12.3158  -68.100  4.02 eps Mus
16.3620  -50.214  4.02 gam02 Nor
19.0126   15.104  4.02 eps Aql
19.0502   -5.702  4.02 i Aql
21.5821   45.703  4.02 rho Cyg
 4.1748   47.777  4.03 c Per
 4.2181   -6.774  4.03 Beid 
14.3681  -37.999  4.03 psi Cen
18.1119    2.497  4.03 70 Oph
20.5735   11.390  4.03 Aldulfin 
22.6107    0.012  4.03 eta Aqr
11.3737    5.892  4.04 sig Leo
11.7857    6.389  4.04 nu. Vir
12.9347  -57.313  4.04 mu.01 Cru
 8.2974  -76.998  4.05 alf Cha
 8.7549  -42.741  4.05 d Vel
12.3302  -64.142  4.05 zet Cru
14.4341   51.736  4.05 tet Boo
14.6597  -49.533  4.05 rho Lup
14.7533  -35.280  4.05 c01 Cen
15.1756  -45.374  4.05 lam Lup
17.0264  -53.196  4.05 eps01 Ara
 0.8112   24.403  4.06 zet And
 1.7541   50.814  4.06 phi Per
 4.0099   35.861  4.06 Menkhib 
 4.9630   13.552  4.06 omi02 Ori
 7.6243   26.838  4.06 ups Gem
11.4356  -17.822  4.06 gam Crt
15.3249  -58.892  4.06 bet Cir
 2.6794    0.435  4.07 del Cet
11.0166  -18.432  4.07 Alkes 
13.8447   15.675  4.07 ups Boo
21.1225  -17.132  4.07 tet Cap
 6.9225  -12.072  4.08 tet CMa
14.2888   -6.119  4.08 Syrma 
21.7379   58.895  4.08 Herschel's Garnet
 2.3700  -68.546  4.09 del Hyi
 3.0582  -23.528  4.09 tau03 Eri
 5.6380    9.302  4.09 phi02 Ori
 9.5862  -59.342  4.09 h Car
15.8311   18.066  4.09 Gudja 
19.1862  -37.863  4.09 Meridiana 
19.1958  -39.299  4.09 bet CrA
21.3874   19.913  4.09 1 Peg
 1.6379   41.530  4.10 Titawin 
 2.6664  -68.160  4.10 eps Hyi
 3.5376   13.021  4.10 f Tau
11.7956  -61.317  4.10 102350 
15.6506  -66.398  4.10 eps TrA
 2.7654   49.332  4.11 tet Per
 7.8333  -46.437  4.11 P Pup
 9.8780  -14.965  4.11 Zhang 
22.5207  -43.620  4.11 del02 Gru
 2.6942  -39.749  4.12 iot Eri
 5.4192   -7.787  4.12 e Ori
 7.0815  -15.672  4.12 Muliphein 
10.5957  -78.738  4.12 gam Cha
12.1080    8.594  4.12 omi Vir
20.7929  -25.179  4.12 psi Cap
20.8885  -26.824  4.12 ome Cap
23.0390  -52.620  4.12 zet Gru
23.6873    5.762  4.12 iot Psc
 6.0627    9.645  4.13 mu. Ori
 8.6496    5.615  4.13 del Hya
15.5656   31.276  4.13 tet CrB
15.9771   26.807  4.13 eps CrB
18.5126  -49.054  4.13 zet Tel
19.9497  -41.800  4.13 iot Sgr
21.7630   25.761  4.13 kap Peg
22.8078  -81.249  4.13 bet Oct
 6.5075   20.194  4.14 nu. Gem
 8.6421  -43.078  4.14 e Vel
12.1367  -64.753  4.14 eta Cru
23.6941   44.473  4.14 kap And
 6.0940   23.260  4.15 1 Gem
 7.2190   -0.536  4.15 del Mon
17.4650  -24.196  4.15 b Oph
22.2844   37.874  4.15 1 Lac
 0.5740   63.069  4.16 kap Cas
 4.2791   48.470  4.16 mu. Per
15.9209  -16.801  4.16 tet Lib
16.6337  -35.304  4.16 H Sco
22.3025   -7.658  4.16 Ancha 
 3.8398  -36.126  4.17 g Eri
16.0958  -11.440  4.17 ksi Sco
17.4091   37.124  4.17 rho Her
 3.7969   24.024  4.18 Merope 
 7.5119   31.733  4.18 rho Gem
 7.9656  -22.948  4.18 j Pup
14.2889   45.974  4.18 Xuange 
21.7953   49.426  4.18 pi.02 Cyg
22.7006  -26.913  4.18 eps PsA
13.8484  -34.575  4.19 g Cen
18.7790   20.572  4.19 110 Her
 3.7987  -23.177  4.20 tau06 Eri
 4.2781  -51.425  4.20 gam Dor
 4.4477   22.349  4.20 kap01 Tau
 5.5354    5.965  4.20 32 Ori
16.1373  -36.868  4.20 tet Lup
16.5818   42.387  4.20 sig Her
22.7991   12.302  4.20 ksi Peg
10.4887   36.578  4.21 bet LMi
14.2372  -10.389  4.21 Kang 
16.7250   81.992  4.21 eps UMi
18.9087  -62.156  4.21 lam Pav
19.1351  -37.025  4.21 gam CrA
22.9554  -32.405  4.21 del PsA
 1.2116   86.390  4.22 2 UMi
 3.5186   60.025  4.22 21291 
18.3399   71.351  4.22 phi Dra
18.8083   -4.719  4.22 bet Sct
20.4999   63.079  4.22 tet Cep
21.4746  -65.251  4.22 gam Pav
23.2603   -5.914  4.22 phi Aqr
 0.3559  -64.728  4.23 zet Tuc
 3.6380   48.274  4.23 psi Per
12.3312  -79.451  4.23 bet Cha
